2025-11-24 14:12:35 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:08 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:08 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:09 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:10 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:11 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:12 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:47 | Layout: palette_y=24, palette_height=22
2025-11-24 14:18:13 | INFO     | music_minion.ui.blessed.components.comparison:36 | render_comparison_overlay called: active=True, track_a=True, track_b=True
